,StudentID,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,Salary Package,IsAnomaly,PlacementStatus
AttendancePercent,0.0002994524716935028,0.4967372090363772,0.5061043942343467,0.5138682585966632,0.5218763956735142,0.5302622804862428,0.5374020054487987,0.5443120222062533,0.5512033730967977,0.5671764999751606,1.0,0.5043037175382872,0.5763312265172293,0.6074156288000127,0.6308627795646556,0.5073647498121671,0.6616288925049311,0.6027691901669336,0.7179407004791863,0.6848336247472693,0.2477349170117057,0.5421193870250175,-0.18106231294016964,0.554023755814332
Internships,0.0025013893923550435,0.446370133505506,0.4557179646437171,0.46206025323354616,0.4685512580762284,0.4752264481278756,0.48190454230131013,0.4888618430063817,0.49622378784719673,0.5197279803100359,0.5043037175382872,1.0,0.6335397297933848,0.5490159725133287,0.5683691568513635,0.4801599075888707,0.5911740876179334,0.5461252820250134,0.6436583708025017,0.6191484923007013,0.2249545746089923,0.5150152406942539,0.2162084602340093,0.5261973883356353
Projects,0.005666865177643871,0.5058473348853032,0.5143880710484425,0.5235311931220149,0.5309169585959348,0.5393353683101708,0.5472989298907501,0.5544370567943451,0.5622405029632819,0.5835770458145377,0.5763312265172293,0.6335397297933848,1.0,0.6236305246547118,0.647683836061756,0.5380040699783399,0.6708953817540334,0.6145575971055475,0.7292091786239122,0.704937828547797,0.25439118926401527,0.5681082302668822,0.22343291139338195,0.5801216180561876
Workshops,0.0023630788122362303,0.5358937528312335,0.5452081120758255,0.5543898836584795,0.5639201300945728,0.5711696879173298,0.5793154145876378,0.5865857935449141,0.5952788369723917,0.5325990296197517,0.6074156288000127,0.5490159725133287,0.6236305246547118,1.0,0.6811107403319203,0.5630150470709259,0.6068395835804782,0.6487054955691322,0.6672690140369515,0.7387320103584527,0.26520895171683645,0.5871899638306921,-0.0031729632846852884,0.5815353947810346
Certifications,0.004366754843481586,0.5502704896315744,0.5607304552015007,0.5689442602921635,0.5781637799352475,0.5876236345103076,0.5953806301319364,0.604213578783836,0.6114491609339382,0.5497500616199519,0.6308627795646556,0.5683691568513635,0.647683836061756,0.6811107403319203,1.0,0.581323265593022,0.6307152830171185,0.670226635352335,0.6904909330020311,0.7643935566941675,0.2728698298838365,0.6036078213609428,-0.00027637488163506575,0.6013149197338807
Publications,0.004312056333581301,0.45683737184973633,0.46483238741289384,0.47217025798944456,0.4799122524828092,0.48622588727028715,0.4933731753610142,0.4996466519320989,0.5060722476396811,0.4555942516797412,0.5073647498121671,0.4801599075888707,0.5380040699783399,0.5630150470709259,0.581323265593022,1.0,0.5073256729946751,0.5541129135646609,0.5642423484432607,0.6292317965086026,0.22822870346329618,0.5105723407364985,-0.007899119013216927,0.46935127778622426
AptitudeTestScore,0.013300259375092369,0.49515724521188287,0.5064743917959063,0.5141468465600855,0.5221571611342758,0.5303059428499113,0.5380661408581648,0.5458605551549588,0.5529230922137814,0.6395919231040441,0.6616288925049311,0.5911740876179334,0.6708953817540334,0.6068395835804782,0.6307152830171185,0.5073256729946751,1.0,0.6030570988020948,0.8100480240819411,0.6885087003473123,0.2451559933634802,0.5475852891566564,-0.03663736293836763,0.5777489664824104
SoftSkillsRating,0.004275396768957891,0.5259997929923858,0.5355816714865463,0.543592728470418,0.5518209921699582,0.5606515527579478,0.5692496865402058,0.5769713723096105,0.5845069237851133,0.5245493606561564,0.6027691901669336,0.5461252820250134,0.6145575971055475,0.6487054955691322,0.670226635352335,0.5541129135646609,0.6030570988020948,1.0,0.6631326574092331,0.7318486419846886,0.25849261292180287,0.6029153575591416,-0.004894427648009385,0.6247879333010516
CodingTestScore,0.005544026316305557,0.5460140075370228,0.5558021566516257,0.5638934205867688,0.5729056671293894,0.5814027140549547,0.5895271466660864,0.598429075829021,0.6056057281847674,0.6961599783072244,0.7179407004791863,0.6436583708025017,0.7292091786239122,0.6672690140369515,0.6904909330020311,0.5642423484432607,0.8100480240819411,0.6631326574092331,1.0,0.7529647096066238,0.27255482253866375,0.6021086336884549,-0.053899543651147255,0.6128317147751934
MockInterviewScore,0.004961318216121748,0.6075405064438127,0.6181422036969492,0.6272596683801285,0.6370484384005581,0.6468649005992312,0.6550044637795049,0.6644180560869781,0.6738520312418723,0.6042312845447771,0.6848336247472693,0.6191484923007013,0.704937828547797,0.7387320103584527,0.7643935566941675,0.6292317965086026,0.6885087003473123,0.7318486419846886,0.7529647096066238,1.0,0.2992924192221133,0.6668101862399994,0.00019660799432929366,0.667999887684528
ExtraCurricular,0.0023663854974741404,0.21311492091092435,0.21564221031125164,0.22003354353044588,0.22201314750086926,0.2269987461556194,0.23097493293713797,0.23497854776127275,0.23732509410633473,0.21378175208820685,0.2477349170117057,0.2249545746089923,0.25439118926401527,0.26520895171683645,0.2728698298838365,0.22822870346329618,0.2451559933634802,0.25849261292180287,0.27255482253866375,0.2992924192221133,1.0,0.29246359076546463,0.005943972324196265,0.2395719131260022
Salary Package,-0.004207477673302192,0.8557461417820539,0.8590829998969635,0.861623274035593,0.8646617505736159,0.867604174315766,0.8692422879169316,0.8714010026699337,0.8743608305760157,0.8229027914183519,0.5421193870250175,0.5150152406942539,0.5681082302668822,0.5871899638306921,0.6036078213609428,0.5105723407364985,0.5475852891566564,0.6029153575591416,0.6021086336884549,0.6668101862399994,0.29246359076546463,1.0,-0.008171099550602766,0.7744430904303383
IsAnomaly,-0.005567978561525631,-0.005927291952871181,-0.0040465318543118555,-0.0045810610255471495,-0.006517874252100059,-0.0038798305827675655,-0.004343134251531641,-0.004707164793708198,-0.0020363009035288997,-0.02264857404229061,-0.18106231294016964,0.2162084602340093,0.22343291139338195,-0.0031729632846852884,-0.00027637488163506575,-0.007899119013216927,-0.03663736293836763,-0.004894427648009385,-0.053899543651147255,0.00019660799432929366,0.005943972324196265,-0.008171099550602766,1.0,9.170624021372558e-06
PlacementStatus,-0.0012964581549455047,0.6650389425214049,0.6722517070861543,0.6777800402763843,0.6839715429193339,0.6909135050768098,0.6958810216226262,0.7019716872056665,0.7071470336022788,0.6489263470259016,0.554023755814332,0.5261973883356353,0.5801216180561876,0.5815353947810346,0.6013149197338807,0.46935127778622426,0.5777489664824104,0.6247879333010516,0.6128317147751934,0.667999887684528,0.2395719131260022,0.7744430904303383,9.170624021372558e-06,1.0
