StudentID,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,Salary Package,IsAnomaly,PlacementStatus,Embedding_Gender_1,Embedding_Gender_2,Embedding_Gender_3,Embedding_City_1,Embedding_City_2,Embedding_City_3,Embedding_CollegeTier_1,Embedding_CollegeTier_2,Embedding_CollegeTier_3,Embedding_Stream_1,Embedding_Stream_2,Embedding_Stream_3,Embedding_Specialisation_1,Embedding_Specialisation_2,Embedding_Specialisation_3,Embedding_Hostel_1,Embedding_Hostel_2,Embedding_Hostel_3,Embedding_HistoryOfBacklogs_1,Embedding_HistoryOfBacklogs_2,Embedding_HistoryOfBacklogs_3,Embedding_CGPA_Tier_1,Embedding_CGPA_Tier_2,Embedding_CGPA_Tier_3
11,6.95,7.55,7.26,7.38,7.5,7.23,7.72,7.88,7.55,93.0,1,4,3.0,4,2,82.2,3.6,86.8,65.1,0,8.06,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,6.01,5.71,5.46,5.81,5.49,5.2,5.73,5.44,5.67,54.8,0,1,1.8044691509931448,1,0,43.6,2.4,32.8,37.6,1,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,5.42,4.86,5.01,5.96,5.0,5.59,5.18,4.94,5.32,67.2,0,1,0.0,0,0,44.5,1.9,33.0,37.4,0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,10.0,10.0,10.0,10.0,10.0,10.0,9.74,10.0,9.92,78.6,1,4,2.0,3,1,68.85926127341149,3.1542109566639414,87.9,86.8,1,18.11,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,6.77,6.81,6.38,6.5,6.75,6.61,7.35,7.52,6.69,86.8,1,4,3.0,4,1,95.5,3.4,65.1,73.0,1,8.79,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16,9.12,9.59,8.77,8.31,9.21,9.01,9.35,9.16,9.05,100.0,2,2,3.0,2,1,81.1,4.6,85.2,60.3,1,25.03,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,7.37,7.15,7.41,7.4,7.86,7.8,7.58,7.8,7.49,88.1,1,4,2.0,3,1,84.3,3.7,62.4,76.9,1,8.32,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,5.45,5.01,4.83,4.77,4.79,5.78,4.92,4.73,5.03,75.9,0,1,0.0,2,1,60.9,2.4,57.41127296699558,47.9,0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,6.97,6.53,6.97,6.34,7.09,7.12,6.51,6.98,6.84,66.4,0,2,1.0,1,0,68.85926127341149,1.3,57.9,56.6,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20,6.29,6.68,6.73,6.47,6.8,7.05,7.0,6.95,6.84,94.7,1,2,2.0,3,1,83.5,3.9,63.6,71.7,1,8.13,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,6.91,6.7,7.44,6.94,7.42,6.76,7.35,7.14,7.1,75.3,1,1,1.0,2,1,75.2,2.4,57.4,44.6,0,8.03,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22,7.36,6.61,7.47,7.03,7.58,7.07,6.93,7.57,7.17,89.2,2,2,2.0,4,1,91.5,4.7,80.4,57.6,1,8.32,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,8.59,8.36,8.61,8.63,8.86,8.46,9.2,8.42,8.66,86.6,2,3,3.0,4,1,76.8,4.5,83.3,68.9,1,22.2,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,7.35,7.76,7.06,7.58,7.19,7.33,7.68,7.69,7.34,71.1,1,2,2.0,2,0,79.1,3.1,50.1,53.9,1,12.87,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25,9.36,9.12,9.39,9.92,9.24,9.77,9.96,9.84,9.6,61.2,0,2,1.0,2,0,70.9,2.9,52.1,57.2,0,18.09,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,4.75,4.19,4.58,5.47,5.06,5.14,5.08,5.21,4.99,79.4,1,2,3.0,3,1,83.2,3.2,60.5,59.3,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,9.15,9.34,8.92,8.92,9.21,9.52,9.29,9.04,9.42,97.0,2,3,3.0,4,2,80.4,3.6,86.9,78.1,1,25.59,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,6.08,6.06,5.93,6.16,6.22,6.39,6.6,6.07,6.25,70.4,1,2,3.0,2,0,63.3,2.8,57.7,59.3,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,9.68,9.01,10.0,9.75,9.0,9.07,9.71,9.47,9.5,80.1,1,2,2.0,1,0,83.2,2.4,53.7,53.8,0,18.13,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,9.94,9.85,9.28,10.0,10.0,10.0,10.0,10.0,9.86,92.3,3,1,2.0,3,2,68.85926127341149,4.8,60.3,89.3,1,25.15,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,6.37,5.62,6.08,5.84,5.57,6.25,5.7,6.22,6.02,71.0,1,2,1.0,1,1,70.7,3.0,61.3,60.8,1,5.99,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32,9.71,9.63,10.0,10.0,10.0,10.0,10.0,10.0,9.96,89.5,1,3,4.0,4,2,84.2,3.3,78.8,59.8,1,25.46,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33,9.26,9.23,9.22,8.61,8.93,9.15,8.77,9.53,9.13,91.4,2,4,2.0,4,2,85.1,3.2,91.2,76.9,0,18.17,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34,4.52,4.06,4.31,4.16,4.05,4.31,4.0,4.01,4.08,57.5,0,0,0.0,1,1,68.85926127341149,2.1,27.4,34.6,1,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35,6.57,6.54,6.51,6.43,6.21,7.41,5.94,6.28,6.4,63.3,1,0,1.0,0,0,43.9,1.9,24.5,34.8,0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,4.44,4.37,4.8,4.06,4.16,4.49,4.12,4.57,4.39,65.8,0,1,1.0,1,0,42.8,1.7,26.9,32.2,0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37,8.26,8.25,7.7,8.16,7.75,7.73,8.31,8.34,7.89,98.3,2,3,3.0,2,2,77.5,3.7,57.41127296699558,87.6,1,8.23,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,9.67,9.8,9.89,9.81,9.78,10.0,9.86,10.0,9.98,88.8,3,3,1.8044691509931448,4,2,78.7,4.1,71.1,72.0,1,25.05,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39,7.51,7.91,7.35,7.81,7.71,7.66,7.51,7.55,7.66,73.2,1,2,2.0,1,0,61.0,3.2,52.3,48.3,1,8.99,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40,6.09,5.76,6.04,5.62,6.17,6.13,6.08,6.17,5.99,79.6,1,1,2.0,2,1,71.6,3.4,44.7,55.40852962724507,1,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41,7.31,7.44,7.94,8.34,7.52,7.64,7.98,8.06,7.91,89.8,2,3,3.0,4,1,97.7,3.6,61.8,72.2,0,12.37,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
42,5.37,5.13,5.23,5.41,5.11,5.58,5.54,5.66,5.29,76.8,1,2,1.0,3,1,57.2,2.5,50.4,55.0,0,3.21,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,6.09,6.58,7.28,6.34,6.61,6.38,6.48,6.54,6.48,95.4,2,4,2.0,4,1,94.5,3.9,86.1,89.7,0,3.52,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
44,6.41,7.13,7.35,6.94,6.92,6.48,6.89,6.6,6.84,69.9,0,0,0.0,0,0,48.5,1.0,23.8,31.8,0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,10.0,9.57,10.0,9.84,9.69,10.0,10.0,9.55,9.79,90.3,2,4,3.0,3,2,67.0,3.5,93.2,58.2,1,25.34,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46,5.88,6.14,6.27,6.51,6.3,5.17,6.04,6.2,6.05,74.5,1,2,1.0,2,0,61.9,3.4,70.9,48.7,1,4.25,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47,10.0,10.0,10.0,10.0,9.98,10.0,10.0,10.0,10.0,75.9,1,3,4.0,3,2,89.6,4.6,66.4,55.40852962724507,0,18.74,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48,9.89,9.64,9.19,8.81,9.35,8.99,9.45,8.96,8.98,77.5,1,1,1.0,2,0,76.1,4.0,57.8,55.40852962724507,1,18.58,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49,5.49,5.57,5.8,5.59,5.8,5.62,5.59,5.76,5.6,70.8,1,1,2.0,2,1,59.8,3.6,49.6,49.2,0,3.23,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
50,7.0,7.51,7.77,7.72,7.82,7.34,7.8,8.56,7.73,68.4,2,2,2.0,2,1,68.85926127341149,4.0,86.7,76.4,1,8.46,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
51,7.22,7.01,7.43,6.64,6.1,6.6,6.85,6.21,6.65,54.1,0,0,1.0,0,0,68.85926127341149,2.3,18.5,31.7,1,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52,6.39,6.64,7.36,6.58,6.19,6.6,6.61,6.84,6.63,73.1,1,3,2.0,1,1,73.1,3.6,59.4,65.4,1,12.03,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
53,4.35,4.26,4.43,4.57,4.33,4.03,4.45,4.36,4.4,63.0,1,0,0.0,1,0,45.1,1.1,30.0,31.5,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,5.73,5.79,5.57,6.01,5.64,5.87,5.67,5.51,5.69,61.8,0,1,1.0,0,0,68.85926127341149,1.8,24.7,38.6,0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,6.77,6.72,6.6,6.54,7.13,6.79,6.5,7.0,6.81,64.9,0,0,1.0,2,0,72.9,3.1,62.4,55.3,0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,6.34,6.97,6.91,6.54,6.64,6.46,6.66,6.72,6.66,61.7,1,1,0.0,0,1,47.4,3.1542109566639414,27.7,33.9,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
57,10.0,10.0,10.0,9.81,10.0,10.0,9.96,10.0,10.0,98.0,1,3,2.0,3,2,78.7,4.6,86.6,71.9,1,25.61,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
58,9.35,9.55,9.52,9.78,9.6,9.78,9.64,9.99,9.66,99.9,2,4,2.0,3,1,87.8,3.7,65.0,70.1,0,18.61,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
59,9.28,8.98,9.13,9.06,9.34,9.65,9.45,8.76,9.27,91.3,1,4,2.0,4,1,90.5,4.3,68.5,55.40852962724507,0,18.68,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
60,8.03,7.42,7.52,8.21,8.31,8.25,7.77,8.02,8.01,97.9,2,4,2.0,5,2,68.85926127341149,3.1542109566639414,78.6,73.2,1,18.97,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,8.19,7.95,7.85,7.62,8.2,8.44,7.63,8.07,8.0,68.6,0,3,2.0,2,0,60.8,4.0,52.6,41.2,0,8.95,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,9.69,10.0,10.0,9.77,10.0,10.0,9.81,10.0,9.76,88.2,2,3,1.8044691509931448,3,2,69.0,4.3,83.5,81.5,1,25.86,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
63,6.15,6.48,6.43,5.86,6.4,6.16,6.56,5.9,6.37,54.9,0,1,0.0,0,1,53.2,2.5,28.9,26.2,0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,8.1,8.59,8.41,8.03,9.0,8.31,8.39,8.3,4.49,51.62642653,1,2,1.0,2,1,35.1,3.8,0.5,54.7,1,18.33,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,6.51,7.1,6.66,6.72,6.48,7.06,6.69,6.96,6.77,91.9,2,2,3.0,3,1,85.1,4.6,82.8,79.7,1,8.37,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66,6.9,6.93,7.68,7.05,7.03,7.01,6.58,7.09,6.95,71.6,1,2,1.0,1,1,63.5,4.4,56.6,54.9,1,8.85,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
67,8.05,8.49,8.4,8.51,7.68,8.64,8.1,8.08,8.09,85.3,2,3,3.0,3,2,75.1,5.0,57.41127296699558,59.1,1,18.99,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,4.0,4.21,4.2,4.0,4.0,4.04,4.0,4.0,4.28,61.3,0,1,0.0,0,0,46.8,1.8,30.7,25.4,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,7.25,7.53,7.31,7.49,8.06,8.06,7.64,7.84,7.66,84.3,2,4,3.0,4,2,80.8,3.7,100.0,71.3,1,12.29,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
70,5.84,4.8,4.85,5.88,4.89,5.42,4.58,5.33,5.29,50.0,1,0,1.0,0,0,44.8,3.1542109566639414,28.9,18.8,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,4.25,4.0,4.34,4.42,4.0,4.0,4.11,4.0,4.0,69.7,1,2,2.0,1,0,76.6,2.9,57.41127296699558,54.3,1,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
72,6.75,6.77,6.7,6.16,7.37,7.19,7.11,7.57,7.14,92.0,3,4,2.0,4,1,79.9,4.5,57.41127296699558,67.3,1,12.16,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
73,9.06,9.25,10.0,9.82,9.78,9.69,10.0,9.95,9.82,87.1,2,4,3.0,2,2,100.0,2.7,65.3,70.0,1,18.72,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
